https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume EUR,tradecount
1597968000000,2020-08-21,XRPEUR,0.24769,0.2503,0.23667,0.23795,480943.6,117632.475332,778
1597881600000,2020-08-20,XRPEUR,0.24667,0.25034,0.24196,0.24803,549809.7,135733.047977,1164
1597795200000,2020-08-19,XRPEUR,0.25501,0.25709,0.23725,0.24687,619969.7,152594.533587,888
1597708800000,2020-08-18,XRPEUR,0.26693,0.27172,0.2504,0.25497,494957.4,128423.616817,684
1597622400000,2020-08-17,XRPEUR,0.259,0.27639,0.25291,0.26653,934694.6,248810.519356,1442
1597536000000,2020-08-16,XRPEUR,0.25388,0.25797,0.248,0.25797,449299.3,114138.61989,651
1597449600000,2020-08-15,XRPEUR,0.25626,0.25868,0.2472,0.25325,451991.9,114597.221354,701
1597363200000,2020-08-14,XRPEUR,0.24924,0.2609,0.2467,0.2545,793207.9,200900.705535,1033
1597276800000,2020-08-13,XRPEUR,0.24065,0.24969,0.23143,0.24886,707082.7,169741.262139,895
1597190400000,2020-08-12,XRPEUR,0.24211,0.24508,0.23408,0.24097,507740.3,122622.612438,851
1597104000000,2020-08-11,XRPEUR,0.25499,0.26313,0.22999,0.24255,845935.3,208897.041456,1140
1597017600000,2020-08-10,XRPEUR,0.24634,0.25523,0.2441,0.25216,713300.8,179625.605198,959
1596931200000,2020-08-09,XRPEUR,0.25189,0.25401,0.24111,0.24562,463909.6,114159.32969,549
1596844800000,2020-08-08,XRPEUR,0.25,0.25514,0.24779,0.25158,1175731.5,295173.541501,902
1596758400000,2020-08-07,XRPEUR,0.25594,0.26378,0.23831,0.251,2470120.7,637768.920666,1529
1596672000000,2020-08-06,XRPEUR,0.25604,0.26396,0.25187,0.25767,1713989.8,442783.263706,999
1596585600000,2020-08-05,XRPEUR,0.25668,0.26018,0.248,0.25666,637147.4,162930.509924,941
1596499200000,2020-08-04,XRPEUR,0.26618,0.27213,0.24936,0.25632,735716.3,191004.083233,1073
1596412800000,2020-08-03,XRPEUR,0.24531,0.27423,0.24203,0.26461,1361231.7,359788.356601,1769
1596326400000,2020-08-02,XRPEUR,0.24721,0.27689,0.1999,0.24343,1817894.3,449129.189533,2820
1596240000000,2020-08-01,XRPEUR,0.21954,0.25245,0.21658,0.24707,1186323.3,280077.244313,1982
1596153600000,2020-07-31,XRPEUR,0.20694,0.21951,0.20437,0.21896,634363.2,133525.808395,1175
1596067200000,2020-07-30,XRPEUR,0.20625,0.212,0.2005,0.20683,801839.4,167513.935937,895
1595980800000,2020-07-29,XRPEUR,0.19727,0.21341,0.1971,0.20716,590422.5,121786.414652,977
1595894400000,2020-07-28,XRPEUR,0.19142,0.20059,0.18629,0.19707,296960.7,57146.590497,489
1595808000000,2020-07-27,XRPEUR,0.18517,0.194,0.17851,0.19025,561229.8,104848.373088,737
1595721600000,2020-07-26,XRPEUR,0.18471,0.19324,0.18226,0.1862,287060.4,54501.510769,464
1595635200000,2020-07-25,XRPEUR,0.17899,0.18766,0.17787,0.18462,387861.5,70264.602356,364
